Name,Race,Class,Level,Background,Specialty,Trait,Ideal,Bond,Flaw,Base Stats,Total Stats,Features,Spells Known,Equipment,Race Source,Class Source,Background Source
Feng Slaughter,Hobgoblin,Bard,4,Criminal,Smuggler,I would rather make a new friend than a new enemy.,Greed. I will do whatever it takes to become wealthy. (Evil),"Something important was taken from me, and I aim to steal it back.","When I see something valuable, I can't think about anything but how to steal it.","[9, 12, 10, 12, 12, 13]","[9, 12, 12, 13, 12, 13]","['Spellcasting', 'Bardic Inspiration (d6)', 'Jack of All Trades', 'Song of Rest (d6)', 'Magical Inspiration (Optional)', 'Bard College', 'Expertise', 'Ability Score Improvement', 'Bardic Versatility (Optional)']","['Mage Hand', 'Vicious Mockery', 'Mending', 'Puppet (UA)', 'Charm Person', 'Unearthly Chorus (UA)', 'Distort Value', 'Healing Word', 'Locate Animals or Plants', 'Cloud of Daggers']","['Rapier', ""Entertainer's Pack"", 'Pan Flute', 'Leather Armor', 'Dagger', 'Crowbar', 'Set of Dark Common Clothes with a Hood', '15 GP']",Volo's Guide to Monsters,Player's Handbook,Player's Handbook
Leia Biggs,Simic Hybrid,Ranger,5,Inheritor,A piece of jewelry,I have a strong sense of fair play and always try to find the most equitable solution to arguments.,Sincerity. There's no good in pretending to be something I'm not. (Neutral),"My tools are symbols of my past life, and I carry them so that I will never forget my roots.",The tyrant who rules my land will stop at nothing to see me killed.,"[8, 16, 12, 10, 13, 9]","[8, 16, 14, 10, 13, 9]","['Favored Enemy', 'Natural Explorer', 'Deft Explorer (Optional)', 'Favored Foe (Optional)', 'Fighting Style', 'Spellcasting', 'Spellcasting Focus (Optional)', 'Primeval Awareness', 'Ranger Conclave', 'Primal Awareness (Optional)', 'Ability Score Improvement', 'Martial Versatility (Optional)', 'Extra Attack']","['Animal Friendship', 'Wild Cunning (UA)', 'Alarm', 'Silence']","['Scale Mail', '2 Shortswords', ""Explorer's Pack"", 'Longbow', '20 Arrows', 'Quiver', ""Set of Traveler's Clothes"", '15 GP']",Guildmaster's Guide to Ravnica,Player's Handbook,Sword Coast Adventurer's Guide
Horgus Carnavon,Fairy,Fighter,1,Sailor,,"To me, a tavern brawl is a nice way to get to know a new city.",Respect. The thing that keeps a ship together is mutual respect between captain and crew. (Good),"Ruthless pirates murdered my captain and crewmates, plundered our ship, and left me to die. Vengeance will be mine.","Once someone questions my courage, I never back down no matter how dangerous the situation.","[16, 13, 12, 10, 12, 8]","[16, 13, 12, 10, 12, 8]","['Fighting Style', 'Second Wind']",[],"['Leather Armor', 'Longbow', '20 Arrows', 'Net', 'Shield', 'Light Crossbow', '20 Bolts', ""Dungeoneer's Pack"", 'Belaying Pin', '50 ft. Silk Rope', 'Lucky Charm', 'Set of Common Clothes', '10 GP']",The Wild Beyond the Witchlight,Player's Handbook,Player's Handbook
Harold Marks,Kalashtar,Rogue,2,Pirate,,I never pass up a friendly wager.,"Mastery. I'm a predator, and the other ships on the sea are my prey. (Evil)","I'm loyal to my captain first, everything else second.","Once I start drinking, it's hard for me to stop.","[14, 17, 9, 15, 11, 13]","[14, 17, 9, 15, 13, 14]","['Expertise', 'Sneak Attack', ""Thieves' Cant"", 'Cunning Action']",[],"['Rapier', 'Shortbow', '20 Arrows', 'Quiver', ""Explorer's Pack"", 'Leather Armor', '2 Daggers', ""Thieves' Tools"", 'Belaying Pin', '50 ft. Silk Rope', 'Lucky Charm', 'Set of Common Clothes', '10 GP']",Eberron: Rising from the Last War,Player's Handbook,Player's Handbook
Dalyla Hopper,Satyr,Rogue,1,Sage,Astronomer,"I'm used to helping out those who aren't as smart as I am, and I patiently explain anything and everything to others.",Logic. Emotions must not cloud our logical thinking. (Lawful),My life's work is a series of tomes related to a specific field of lore.,Most people scream and run when they see a demon. I stop and take notes on its anatomy.,"[13, 16, 10, 13, 10, 13]","[13, 17, 10, 13, 10, 15]","['Expertise', 'Sneak Attack', ""Thieves' Cant""]",[],"['Shortsword', 'Shortbow', '20 Arrows', 'Quiver', ""Explorer's Pack"", 'Leather Armor', '2 Daggers', ""Thieves' Tools"", 'Bottle of Ink', 'Quill', 'Small Knife', 'Letter from a Dead Colleague with an Unanswered Question', 'Set of Common Clothes', '10 GP']",Mythic Odysseys of Theros,Player's Handbook,Player's Handbook
Abyl Moler,Aasimar,Rogue,1,Inheritor,"A written story, song, poem, or secret",I'm confident in my own abilities and do what I can to instill confidence in others.,"Fairness. No one should get preferential treatment before the law, and no one is above the law. (Lawful)","My tools are symbols of my past life, and I carry them so that I will never forget my roots.",I have trouble trusting in my allies.,"[14, 16, 12, 13, 13, 11]","[14, 16, 12, 13, 13, 13]","['Expertise', 'Sneak Attack', ""Thieves' Cant""]",[],"['Shortsword', 'Shortbow', '20 Arrows', 'Quiver', ""Dungeoneer's Pack"", 'Leather Armor', '2 Daggers', ""Thieves' Tools"", ""Set of Traveler's Clothes"", '15 GP']",Volo's Guide to Monsters,Player's Handbook,Sword Coast Adventurer's Guide
Cameryn Dice,Feral Tiefling,Ranger,4,Grinner,Zan's Comin' Back. This hopeful Tal'Dorei folk song declares the inevitable return of a just ruler. Use it to seek out potential allies.,"When I don't have a reason to smile, I'm miserable.","Vigilance. A free people must be carefully taught, lest they be misled. (Neutral)",The elite in their ivory towers don't understand how we suffer. I intend to show them.,I can't afford to trust anyone. Not. Anyone.,"[12, 16, 9, 12, 13, 11]","[12, 18, 9, 13, 13, 11]","['Favored Enemy', 'Natural Explorer', 'Deft Explorer (Optional)', 'Favored Foe (Optional)', 'Fighting Style', 'Spellcasting', 'Spellcasting Focus (Optional)', 'Primeval Awareness', 'Ranger Conclave', 'Primal Awareness (Optional)', 'Ability Score Improvement', 'Martial Versatility (Optional)']","['Speak with Animals', 'Zephyr Strike', 'Hail of Thorns']","['Scale Mail', '2 Shortswords', ""Dungeoneer's Pack"", 'Longbow', '20 Arrows', 'Quiver', 'Set of Fine Clothes', 'Disguise Kit', 'Musical Instrument', 'Gold-Plated Ring of a Smiling Face', '15 GP']",Sword Coast Adventurer's Guide,Player's Handbook,Explorer's Guide to Wildemount
Andrea Henkeeper,Feral Tiefling,Artificer,1,Gladiator,Singer,I'll settle for nothing less than perfection.,Greed. I'm only in it for the money and fame. (Evil),I would do anything for the other members of my old troupe.,A scandal prevents me from ever going home again. That kind of trouble seems to follow me around.,"[14, 16, 13, 18, 10, 9]","[14, 18, 13, 19, 10, 9]","['Magical Tinkering', 'Spellcasting']","['Green-Flame Blade', 'Message', 'Absorb Elements', 'Identify', 'Catapult', 'Alarm', 'Disguise Self']","['Javelin', 'Dart', 'Light Crossbow', '20 Bolts', 'Scale Mail', ""Thieves' Tools"", ""Dungeoneer's Pack"", 'Inexpensive but Unusual Weapon', 'Favor of an Admirer', 'Costume', '15 GP']",Sword Coast Adventurer's Guide,Tasha's Cauldron of Everything,Player's Handbook
Alysea Palewine,Warforged,Sorcerer,4,Boros Legionnaire,,I am always the first into the fray.,"Justice. Achieving justice requires establishing fair, equitable, and compassionate relationships within a community. (Good)","I ran with the Rakdos in my youth, and I'm striving to atone for my past misdeeds.",I trust the chain of command more than anything - more even than my closest friends.,"[9, 12, 16, 11, 9, 16]","[9, 12, 18, 11, 9, 16]","['Spellcasting', 'Sorcerous Origin', 'Font of Magic', 'Metamagic', 'Ability Score Improvement', 'Sorcerous Versatility (Optional)']","['Ray of Frost', 'Frostbite', 'Mending', 'Lightning Lure', 'Gust', 'Remote Access (UA)', ""Tasha's Caustic Brew"", 'Jump', 'Misty Step', 'Blur']","['Light Crossbow', '20 Bolts', 'Arcane Focus', ""Dungeoneer's Pack"", '2 Daggers', 'Boros Insignia', ""Feather from an Angel's Wing"", 'Tattered Piece of Boros Banner', 'Set of Common Clothes', '2 GP']",Eberron: Rising from the Last War,Player's Handbook,Guildmaster's Guide to Ravnica
Tuck Chaplin,Orc of Eberron,Rogue,3,Criminal,Burglar,I don't pay attention to the risks in a situation. Never tell me the odds.,Greed. I will do whatever it takes to become wealthy. (Evil),Someone I loved died because of a mistake I made. That will never happen again.,"When I see something valuable, I can't think about anything but how to steal it.","[12, 16, 11, 14, 10, 9]","[14, 16, 12, 14, 10, 9]","['Expertise', 'Sneak Attack', ""Thieves' Cant"", 'Cunning Action', 'Roguish Archetype', 'Steady Aim (Optional)']",[],"['Rapier', 'Shortbow', '20 Arrows', 'Quiver', ""Burglar's Pack"", 'Leather Armor', '2 Daggers', ""Thieves' Tools"", 'Crowbar', 'Set of Dark Common Clothes with a Hood', '15 GP']",Eberron: Rising from the Last War,Player's Handbook,Player's Handbook
Ivano Millett,Yuan-Ti Pureblood,Wizard,5,Phlan Refugee,,"I have always gotten ahead by giving, why change now?",Hope. I am guided by a higher power and I trust that everything will be right in the end. (Good),There was someone I cared about in Phlan. I will find out what happened to them.,"When something goes wrong, it's never my fault.","[12, 11, 11, 16, 14, 7]","[12, 11, 11, 17, 14, 9]","['Spellcasting', 'Arcane Recovery', 'Arcane Tradition', 'Cantrip Formulas (Optional)', 'Ability Score Improvement']","['Sword Burst', 'Thunderclap', 'Ray of Frost', 'Encode Thoughts', 'Guiding Hand (UA)', 'Witch Bolt', 'Healing Elixir (UA)', 'Remote Access (UA)', 'Magnify Gravity', 'Chromatic Orb', 'Sudden Awakening (UA)', 'Color Spray', ""Aganazzar's Scorcher"", 'See Invisibility', 'Wristpocket', 'Digital Phantom (UA)', 'Remove Curse', 'Thunder Step']","['Quarterstaff', 'Arcane Focus', ""Scholar's Pack"", 'Spellbook', ""Set of Artisan's Tools"", 'Token of Previous Life', ""Set of Traveler's Clothes"", '15 GP']",Volo's Guide to Monsters,Player's Handbook,Mulmaster Bonds and Backgrounds
